title,popularity,genres,rating,language
Dangerous Liaisons,18,"Drama, Romance",5.9,fr
Hellhole,18,"Horror, Mystery",6.2,pl
The Ritual Killer,18,"Mystery, Thriller, Action, Drama",5.777,en
Mr. Blake At Your Service!,18,"Comedy, Drama, Romance",6.544,fr
Rally Road Racers,18,"Animation, Family, Comedy",6.7,en
Love Is in the Air,18,"Romance, Comedy",6.2,en
Call Me Chihiro,18,Drama,7.1,ja
The Conference,18,"Horror, Comedy, Thriller",5.5,sv
The Pod Generation,18,"Science Fiction, Comedy, Romance, Drama",5.9,en
Dashing Through the Snow,18,"Fantasy, Family, Comedy",6.2,en
Brave Citizen,18,"Action, Drama, Comedy",7,ko
Batman: The Doom That Came to Gotham,18,"Animation, Fantasy, Action, Mystery",6.6,en
You People,18,"Romance, Comedy",5.629,en
Epic Tails,18,"Animation, Adventure, Fantasy, Family, Comedy",6.7,fr
20 Days in Mariupol,18,"Documentary, War",7.983,en
Little Bone Lodge,18,"Horror, Crime, Thriller",6.7,en
Contagion of Fear,18,"Science Fiction, Thriller",6.2,en
12th Fail,18,Drama,8,hi
Fair Play,18,"Drama, Thriller, Romance",6.4,en
The Boogeyman,18,"Horror, Thriller, Mystery",6.4,en
The Dive,18,"Thriller, Adventure",6.3,en
Bottoms,18,Comedy,6.7,en
Temptation,18,"Romance, Thriller",5.5,pl
Graphic Desires,18,Thriller,6.892,en
V/H/S/85,18,"Horror, Thriller",5.677,en
Adipurush,18,"History, Action, Adventure, Fantasy",5,hi
Tin & Tina,18,"Horror, Thriller, Mystery",6,es
The Magician's Elephant,18,"Animation, Adventure, Family, Fantasy, Comedy",6.9,en
All Fun and Games,18,"Horror, Thriller",5.6,en
Night Shift,18,"Comedy, Crime, Thriller",6,es
The Wonderful World of Mickey Mouse: Steamboat Silly,18,"Animation, Comedy",7.2,en
Kill Boksoon,18,"Action, Drama, Thriller, Crime",6.822,ko
The Radleys,18,"Comedy, Horror, Thriller",4.8,en
His Three Daughters,18,"Drama, Comedy",7,en
My Penguin Friend,18,"Family, Adventure, Drama",7.4,en
Mea Culpa,18,"Drama, Crime, Thriller",5.6,en
Singham Again,18,"Action, Drama, Thriller, Crime",4.3,hi
The Last Stop in Yuma County,18,"Crime, Thriller",7.089,en
Blood Dried Hands,18,"Horror, Thriller, Drama, Crime",8,en
Marching Band,18,"Comedy, Drama, Music",7.5,fr
This Is Me…Now,18,"Drama, Music",5.3,en
Aavesham,18,"Comedy, Action",7.3,ml
Honey Money Phony,18,"Comedy, Romance",5.8,zh
Boy Kaldag,18,Drama,0,tl
Tudo por um Pop Star 2,18,Comedy,9.2,pt
Out of Darkness,18,"Horror, Thriller",5.7,en
Angels Fallen: Warriors of Peace,18,"Horror, Action, Fantasy, Adventure",4.458,en
Problemista,18,Comedy,6.7,en
To Live Through Death,18,"Action, Crime",0,zh
An Unfinished Film,18,Drama,6.6,zh
Blame the Game,18,"Comedy, Thriller, Romance",5.8,de
Wicked Little Letters,18,"Comedy, Drama, Mystery",6.962,en
Lowlifes,18,"Horror, Thriller",6.331,en
Sector 36,18,"Crime, Thriller, Drama",7,hi
Einstein and the Bomb,18,"Documentary, Drama",6,en
Blackwater Lane,18,"Thriller, Drama, Mystery, Horror, Crime",6.453,en
Out of My Mind,18,Drama,7.8,en
Hijack '93,18,"Thriller, Drama",5.4,en
Timestalker,18,"Comedy, Romance, Fantasy",5.4,en
Boxer,18,Drama,7,pl
The Witch. Revenge,18,"Horror, Fantasy, War, Drama",6.607,uk
KIX,18,Documentary,6,hu
Emma and Eddie: A Working Couple,18,"Documentary, Drama",5.5,en
Jujutsu Kaisen Hidden Inventory / Premature Death Arc Compilation Movie,18,"Animation, Action",0,ja
ARMED,18,"Science Fiction, War, Horror",0,en
You Are the Apple of My Eye,18,"Romance, Drama, Comedy",9,ko
Aghathiyaa,18,"Fantasy, Horror, Adventure",0,ta
The Old Guard 2,18,"Action, Fantasy, Science Fiction, Drama",0,en
Nilavuku En Mel Ennadi Kobam,18,"Romance, Drama",6,ta
Rambo,18,Action,0,hi
71: Into the Fire,17,War,7.518,ko
Siren XXX: Magical Pleasure,17,"Thriller, Drama",6.1,ja
Valentine's Day,17,"Comedy, Romance",5.9,en
Gulliver's Travels,17,"Family, Comedy, Adventure, Fantasy",5.203,en
Edge of Darkness,17,"Crime, Drama, Mystery, Thriller",6.3,en
Bloomington,17,"Romance, Drama",6.6,en
The Losers,17,"Action, Adventure, Crime, Mystery, Thriller",6.3,en
Prep & Landing Stocking Stuffer: Operation: Secret Santa,17,"Animation, Family, Fantasy",6.4,en
Dear John,17,"Drama, Romance, War",6.8,en
Batman: Under the Red Hood,17,"Mystery, Crime, Animation",7.735,en
Life As We Know It,17,"Comedy, Romance, Drama",6.9,en
Shark Night 3D,17,"Thriller, Horror",4.992,en
Ice Age: A Mammoth Christmas,17,"Animation, Family, TV Movie",6.5,en
The Guard,17,"Action, Comedy, Thriller, Crime",7,en
The Flowers of War,17,"Drama, History, War",7.5,zh
A Cinderella Story: Once Upon a Song,17,"Comedy, Family, Romance, Drama",6.4,en
Detective Conan: Quarter of Silence,17,"Animation, Action, Crime, Mystery",7.1,ja
Jane Eyre,17,"Drama, Romance",7.212,en
Return to Jurassic Park,17,"Documentary, Action, Adventure, Thriller",6.6,en
The Resident,17,"Thriller, Mystery",5.8,en
A Monster in Paris,17,"Adventure, Animation, Comedy, Family, Fantasy",6.881,fr
A Very Harold & Kumar Christmas,17,Comedy,6,en
Haywire,17,"Action, Thriller, Drama",5.701,en
From Up on Poppy Hill,17,"Animation, Drama",7.537,ja
The Watch,17,"Comedy, Action, Science Fiction",5.584,en
Gone,17,"Thriller, Drama",6.2,en
Red Tails,17,"Drama, Action, Adventure, History, War",6.6,en
Zombie Ass: Toilet of the Dead,17,"Comedy, Horror",5,ja
Safe House,17,"Action, Thriller",6.5,en
[REC]³ Genesis,17,Horror,5.291,es
The Neighbors,17,"Thriller, Mystery",7.3,ko
Beverly Hills Chihuahua 3,17,"Comedy, Family",6.295,en
Maniac,17,"Horror, Thriller",6,en
Magic Mike,17,"Drama, Comedy",6.2,en
Big Top Scooby-Doo!,17,"Family, Animation, Comedy, Mystery",7.71,en
House at the End of the Street,17,"Horror, Thriller",5.8,en
Offender,17,Thriller,6.8,en
"Madrid, 1987",17,Drama,6.4,es
The Master,17,Drama,7.117,en
The Divide,17,"Horror, Science Fiction, Thriller",5.927,en
Journey to the West: Conquering the Demons,17,"Action, Fantasy, Adventure, Comedy",6.9,zh
Jack Reacher: When the Man Comes Around,17,Documentary,7.7,en
Miracle in Cell No. 7,17,"Drama, Comedy",8,ko
Code Geass: Akito the Exiled 2: The Wyvern Divided,17,"Action, Animation",6.3,ja
Wolf Creek 2,17,"Horror, Thriller",6.4,en
Deseo,17,Drama,6.6,es
Young Mother,17,"Comedy, Romance",5,ko
The Physician,17,"Adventure, Drama, History",7.3,en
Windstorm,17,"Adventure, Family",7.3,de
The House of Magic,17,"Family, Fantasy, Animation, Adventure",6.321,en
Only Lovers Left Alive,17,"Drama, Romance",7.2,en
The Last Exorcism Part II,17,"Horror, Thriller",4.6,en
Lovelace,17,Drama,6,en
Stranger by the Lake,17,"Drama, Thriller",6.292,fr
Minuscule: Valley of the Lost Ants,17,"Animation, Adventure, Family",7,fr
The Secret Sex Life of a Single Mom,17,"Drama, Mystery, Romance, TV Movie",5.1,en
PK,17,"Comedy, Drama, Science Fiction",7.7,hi
Sorry If I Call You Love,17,"Romance, Drama",7.4,es
Dragons: Dawn of the Dragon Racers,17,"Animation, Family, Adventure, Comedy, Fantasy",7.3,en
The Invisible Boy,17,"Comedy, Adventure, Science Fiction, Fantasy",6.3,it
Barbie: The Pearl Princess,17,"Family, Animation",6.993,en
Kite,17,"Drama, Action",4.3,en
Everly,17,"Thriller, Action",5.511,en
Rape Zombie: Lust of the Dead 5,17,Horror,7.3,ja
Pokémon the Movie: Diancie and the Cocoon of Destruction,17,"Animation, Family, Adventure, Action, Comedy, Drama",6.6,ja
The White Haired Witch of Lunar Kingdom,17,Fantasy,6.292,zh
The Good Lie,17,Drama,7.3,en
Interstellar: Nolan's Odyssey,17,"Documentary, TV Movie",7.736,en
No Tears for the Dead,17,"Action, Thriller, Drama",7.2,ko
The Last Survivors,17,"Horror, Thriller, Action",6.1,en
Black Sea,17,"Adventure, Drama, Thriller",6.258,en
Rage,17,"Action, Crime, Thriller",5.3,en
Wild,17,Drama,7,en
Ask Me Anything,17,Drama,5.6,en
Justice League: War,17,"Animation, Action",7.406,en
Asterix: The Mansions of the Gods,17,"Animation, Comedy, Adventure, Family",6.8,fr
Tracers,17,Action,6,en
Absolutely Anything,17,"Comedy, Science Fiction",5.9,en
Strange Magic,17,"Music, Animation, Family, Fantasy",7.091,en
Eye in the Sky,17,"Drama, Thriller, War",7,en
The New Adventures of Aladdin,17,"Comedy, Fantasy, Adventure",4.724,fr
Macbeth,17,"Drama, War",6.5,en
Look Who's Back,17,Comedy,6.8,de
"Monster High: Boo York, Boo York",17,"Animation, Family, Music",7.7,en
The Escort,17,"Drama, Comedy, Romance",6,en
Ooops! Noah Is Gone...,17,"Animation, Adventure, Comedy, Family",6.4,en
Bad Hair Day,17,"Comedy, Adventure, TV Movie, Family",6.4,en
The 33,17,"Drama, History",6.4,en
Monster High: Haunted,17,"Animation, Family, Fantasy",7.5,en
Seeds of Yesterday,17,"TV Movie, Thriller, Drama",6.5,en
Code Geass: Akito the Exiled 3: The Brightness Falls,17,"Action, Animation",6.5,ja
The Empire of Corpses,17,"Animation, Horror, Science Fiction, Thriller",6,ja
Captain America: Civil War Reenactors,17,"Comedy, Documentary",2,en
One Piece Film: GOLD,17,"Action, Animation, Adventure, Comedy",7.2,ja
Kingsglaive: Final Fantasy XV,17,"Animation, Science Fiction, Action",6.7,ja
In This Corner of the World,17,"Drama, Animation, Romance, War, History",7.901,ja
Hard Target 2,17,"Action, Thriller",6.1,en
Don't Blame the Kid,17,"Comedy, Romance",7.7,es
Big Fish & Begonia,17,"Animation, Adventure, Fantasy",7.4,zh
Purpose of Cohabitation,17,Romance,4,ko
White Lily,17,"Drama, Horror",4.4,ja
Bad Moms,17,Comedy,6.5,en
Zetsu-Rin! Invisible Hentai Man,17,,0,ja
The Monkey King 2,17,"Action, Adventure, Fantasy",5.9,zh
A Street Cat Named Bob,17,"Family, Drama",7.912,en
The Assignment,17,"Action, Crime, Thriller",5.5,en
Bastille Day,17,Action,6.3,en
Snowden,17,"Drama, History, Crime, Thriller",7.104,en
Mr. Church,17,Drama,7.4,en
"Hail, Caesar!",17,"Comedy, Crime, Mystery",5.923,en
Kizumonogatari Part 1: Tekketsu,17,"Animation, Fantasy, Mystery, Drama, Action",7.7,ja
I Am Nezha,17,"Family, Fantasy, Animation",7.7,zh
Midnight Special,17,"Adventure, Drama, Science Fiction",6.2,en
Criminal,17,"Action, Crime, Science Fiction",6.205,en
The Circle,17,"Drama, Thriller, Science Fiction",5.5,en
Eliminators,17,"Action, Thriller",6.4,en
Tangled: Before Ever After,17,"Adventure, Animation, Comedy, Family, Fantasy, TV Movie",6.8,en
Fate/stay night: Heaven's Feel I. Presage Flower,17,"Action, Animation, Drama, Fantasy, Romance",7.5,ja
Starship Troopers: Traitor of Mars,17,"Action, Animation, Science Fiction",5.9,en
Minecraft: Through the Nether Portal,17,Documentary,4,en
The Girl Next Door,17,Romance,4.2,ko
Scooby-Doo! Shaggy's Showdown,17,"Animation, Family, Mystery, Comedy, Western",7.9,en
Puss in Book: Trapped in an Epic Tale,17,"Family, Fantasy, Animation, Comedy, Adventure",6.6,en
An Affair: My Friend's Mom,17,"Romance, Drama",3.6,ko
Altitude,17,"Action, Thriller",4.8,en
Mayhem,17,"Action, Comedy, Horror",6.4,en
Breathe,17,"Drama, Romance",7.44,en
Doraemon: Nobita's Great Adventure in the Antarctic Kachi Kochi,17,"Animation, Adventure, Fantasy, Family",6.5,ja
The Merciless,17,"Action, Crime, Mystery",7.1,ko
Fireworks,17,"Animation, Drama, Fantasy, Romance",6.6,ja
Renegades,17,"Thriller, Action",5.6,en
Goodbye Christopher Robin,17,"Family, History, Drama",7.047,en
All Eyez on Me,17,"History, Drama, Music",6.7,en
Toc Toc,17,Comedy,7.1,es
Day of the Dead: Bloodline,17,"Action, Horror",4.7,en
"Sex First, Love Second",17,"Romance, Drama",5.4,ko
211,17,"Crime, Action, Thriller",5.315,en
Utøya: July 22,17,"History, Drama",7.223,no
12 Feet Deep,17,Thriller,6,en
High Life,17,"Science Fiction, Drama, Mystery",5.738,en
Code Geass: Lelouch of the Rebellion – Glorification,17,"Science Fiction, Animation, Drama, Action",7.4,ja
The Keeper,17,"Drama, War, History",7.5,de
Godzilla: The Planet Eater,17,"Animation, Science Fiction, Action, Adventure",6.5,ja
BlacKkKlansman,17,"Crime, Comedy, Drama",7.5,en
Black Water,17,"Action, Thriller",5.6,en
On the Basis of Sex,17,"Drama, History",7.4,en
Shoplifters,17,"Drama, Crime, Thriller",7.855,ja
Hot Summer Nights,17,"Drama, Crime",6.7,en
Taxi 5,17,"Action, Comedy",5.4,fr
How It Ends,17,"Science Fiction, Thriller, Mystery, Action, Adventure",5.283,en
Christopher Robin,17,"Adventure, Comedy, Family, Fantasy",7.302,en
Searching,17,"Drama, Mystery, Thriller",7.6,en
Beautiful Vampire,17,"Romance, Fantasy, Drama",7,ko
The Guilty,17,"Thriller, Drama, Crime",7.3,da
Downrange,17,"Horror, Thriller",5.7,en
K.G.F: Chapter 1,17,"Action, Thriller, Adventure, Crime",7.392,kn
The Brand New Adventures of Aladdin,17,"Comedy, Fantasy, Adventure",4.807,fr
Slender Man,17,"Horror, Mystery, Thriller",4.3,en
Serenity,17,"Thriller, Mystery, Drama",5.4,en
Isn't It Romantic,17,"Comedy, Fantasy, Romance",6.2,en
The Goldfinch,17,Drama,7.152,en
Hello World,17,"Animation, Romance, Science Fiction, Drama",7.308,ja
Kabaneri of the Iron Fortress: The Battle of Unato,17,"Animation, Drama, Action, Science Fiction",7.1,ja
Svaha: The Sixth Finger,17,"Horror, Mystery, Thriller, Crime",6.9,ko
Wonder Woman: Bloodlines,17,"Science Fiction, Animation",6.9,en
Violet Evergarden: Eternity and the Auto Memory Doll,17,"Drama, Fantasy, Animation",8.2,ja
The Prodigy,17,"Horror, Thriller",6.1,en
The Vanishing,17,"Thriller, Mystery",5.73,en
High & Low The Worst,17,Action,7.8,ja
Doraemon: Nobita's Chronicle of the Moon Exploration,17,"Animation, Adventure, Comedy, Science Fiction, Fantasy, Family",7.6,ja
Missing Link,17,"Family, Animation, Comedy, Adventure",7,en
Teen Titans Go! vs. Teen Titans,17,"Action, Animation, Comedy, Family, Fantasy, Science Fiction",7.6,en
Scooby-Doo! Return to Zombie Island,17,"Fantasy, Animation, Family, Adventure, Comedy, Mystery, Horror",6.982,en
Noraebang: Hot Women 2,17,"Drama, Romance",0,ko
Black and Blue,17,"Action, Crime, Drama, Thriller",6.783,en
Break,17,Thriller,5.4,ru
Is It Wrong to Try to Pick Up Girls in a Dungeon?: Arrow of the Orion,17,"Animation, Action, Adventure, Comedy, Fantasy, Romance",7.8,ja
Hamilton,17,"History, Drama",8.2,en
The Christmas Chronicles: Part Two,17,"Family, Fantasy, Adventure, Comedy",6.5,en
Guns Akimbo,17,"Action, Comedy, Crime, Thriller",6.4,en
Spenser Confidential,17,"Comedy, Action, Thriller",6.53,en
Jiu Jitsu,17,"Action, Science Fiction, Fantasy",4.8,en
Synchronic,17,"Horror, Science Fiction, Thriller",6.326,en
Spontaneous,17,"Comedy, Horror",6.8,en
A Babysitter's Guide to Monster Hunting,17,"Family, Fantasy, Adventure, Comedy",6.2,en
Hole-in-law,17,Romance,6.4,ko
Swingers,17,Documentary,4.5,en
Skylines,17,"Science Fiction, Action, Thriller",5.6,en
Don't Listen,17,"Drama, Horror, Thriller",6.504,es
Baba Yaga: Terror of the Dark Forest,17,Horror,6.4,ru
Summer of 85,17,"Romance, Drama",7.4,fr
What Happened at the Carpenter's Shop,17,Romance,5.7,ko
Nobody Sleeps in the Woods Tonight,17,"Comedy, Horror",5.3,pl
The One and Only Ivan,17,"Family, Comedy, Drama",7.4,en
Sweet Girl,17,"Action, Thriller, Drama",6.6,en
Black Box,17,"Mystery, Thriller, Drama",7.334,fr
Ride or Die,17,"Drama, Romance, Thriller",6.8,ja
Dear Evan Hansen,17,Drama,6.3,en
Voyagers,17,"Science Fiction, Thriller",6,en
Reminiscence,17,"Mystery, Science Fiction",6.587,en
Old Henry,17,"Western, Action",7.3,en
Fatherhood,17,"Drama, Comedy",7.5,en
Stillwater,17,"Drama, Crime, Thriller",6.6,en
My Lovely Angel,17,Drama,7.3,ko
"Batman: The Long Halloween, Part One",17,"Animation, Mystery, Action, Crime",7.457,en
Minari,17,Drama,7.338,en
Werewolves Within,17,"Horror, Comedy",6,en
Olympians at Heart,17,Family,8,en
"tick, tick... BOOM!",17,"Drama, Music",7.6,en
SAS: Red Notice,17,"Drama, Action, Thriller",5.8,en
An Egg Rescue,17,"Animation, Comedy, Adventure, Family",7.9,es
The Map of Tiny Perfect Things,17,"Fantasy, Romance",7.1,en
Caveat,17,"Horror, Mystery, Thriller",6.2,en
Serve the People,17,Drama,6.4,ko
Murder at Yellowstone City,17,"Western, Mystery",5.5,en
Don't Look at the Demon,17,Horror,6.784,en
Veneciafrenia,17,Horror,6,es
2037,17,Drama,7.365,ko
Family Matters,17,Drama,10,tl
Clean,17,"Crime, Action, Drama",6.3,en
Deep Sea Mutant Snake,17,"Action, Adventure, Fantasy, Thriller, Horror",6.881,zh
Home Team,17,"Family, Comedy, Drama",6.7,en
Prizefighter: The Life of Jem Belcher,17,"History, Drama",6.3,en
Jikirag,17,Horror,6.384,en
Fullmetal Alchemist: The Revenge of Scar,17,"Fantasy, Action, Adventure",6.595,ja
"Snoopy Presents: To Mom (and Dad), With Love",17,Animation,6.6,en
La Abuela (The Grandmother),17,"Drama, Horror",5.863,es
Amsterdam,17,"Mystery, Comedy, Drama",6.1,en
Broker,17,"Drama, Comedy, Crime",7.167,ko
Kaguya-sama: Love Is War -The First Kiss That Never Ends-,17,"Animation, Comedy, Romance",8,ja
Emergency Declaration,17,"Action, Drama, Thriller",7.5,ko
Viking Wolf,17,"Horror, Thriller, Mystery",5.7,no
Vendetta,17,"Action, Crime",6.1,en
All-Time High,17,"Comedy, Romance",5.8,fr
Afire,17,"Drama, Romance, Comedy",6.9,de
The Adventures,17,"Romance, Comedy, Adventure",6,th
Foe,17,"Science Fiction, Drama",5.7,en
Kingdom III: The Flame of Destiny,17,"Action, Adventure, War",7.5,ja
Winnie the Pooh: Blood and Honey,17,"Horror, Thriller",5.037,en
JUNG_E,17,Science Fiction,6.1,ko
The President's Wife,17,"Comedy, Drama",6.3,fr
The Weapon,17,Action,5.2,en
STILL: A Michael J. Fox Movie,17,Documentary,7.7,en
Joy Ride,17,Comedy,6.6,en
Crater,17,"Science Fiction, Action, Adventure, Family",6.6,en
Kidnapped,17,"Drama, History",7.3,it
Night of the Hunted,17,"Horror, Mystery, Thriller",6,en
My Big Fat Greek Wedding 3,17,"Comedy, Romance",6,en
Jagun Jagun,17,"Action, Drama",6.6,yo
There's Something Wrong with the Children,17,"Horror, Mystery, Thriller",5.7,en
Love Life Light,17,"Drama, Mystery, Fantasy",6.4,zh
Make Me Believe,17,"Romance, Comedy",6.5,tr
Khanzab,17,Horror,5.4,id
LEGO Disney Princess: The Castle Quest,17,Animation,6.5,en
Snoopy Presents: One-of-a-Kind Marcie,17,"Animation, Family, Comedy",7.7,en
The Mill,17,"Science Fiction, Horror",5.8,en
Pathaan,17,"Action, Adventure, Thriller",6.515,hi
The Burial,17,"Drama, History",7.109,en
Slotherhouse,17,"Horror, Comedy, Thriller",4.51,en
El Conde,17,"Fantasy, Comedy, Horror",6.193,es
Last Call for Istanbul,17,"Romance, Drama",6.4,tr
The Boogeyman: The Origin of the Myth,17,"Horror, Adventure",6.284,es
12.12: The Day,17,"Drama, History, Thriller, Crime, War",7.5,ko
Royalteen: Princess Margrethe,17,"Drama, Romance",6.5,no
American Symphony,17,"Documentary, Music",6.8,en
Reality,17,"Drama, Thriller",6.4,en
Sly,17,Documentary,7.2,en
TMZ Presents | The Downfall of Diddy,17,"Documentary, Crime",5.294,en
Skywalkers: A Love Story,17,"Documentary, Romance, Thriller",7.1,en
Suspicion,17,"Crime, Horror, Thriller",4.2,en
Bird,17,"Drama, Fantasy",7.3,en
The Snow Sister,17,"Fantasy, Family, Adventure, Drama",6.9,no
Doraemon the Movie: Nobita's Earth Symphony,17,"Animation, Music, Comedy, Drama, Family, Fantasy, Adventure",7.2,ja
Armand,17,"Drama, Thriller",6.7,no
Rumours,17,"Comedy, Horror",4.9,en
The Wingwalker,17,"Drama, Thriller",8.042,es
The Park Maniac,17,"Drama, Crime, Thriller",5.8,pt
Elton John: Never Too Late,17,"Documentary, Music",6.2,en
Nurse Abi,17,Drama,0,tl
Justice,17,"Crime, Drama",6.6,pl
Naples to New York,17,Drama,7.3,it
The Wasp,17,"Thriller, Drama",6.4,en
Simon of the Mountain,17,Drama,6.1,es
Kali: Avenging Angel,17,"Action, Thriller, Adventure",7.2,fr
The Bench,17,Horror,0,en
Hell Hole,17,"Horror, Science Fiction",5.4,en
Killer Babes,17,"Comedy, Crime, Thriller",7.2,es
Son of a Rich,17,"Comedy, Romance, Action",6.4,tr
Kiskisan,17,Drama,5,tl
Dirty Ice Cream,17,Drama,4,tl
Christmas in Lagos,17,"Romance, Drama, Comedy",3.5,en
Intercambiadas,17,Comedy,8,es
Stolen,17,"Drama, Crime",6.2,sv
The Good Teacher,17,"Drama, Thriller",6.364,fr
"Like Winds, Like Weeds",17,Drama,0,zh
Game Changer,17,"Action, Drama",4.5,te
Another Simple Favor,17,"Comedy, Crime, Thriller",9.5,en
Queen of the Ring,17,Drama,10,en
Avatar: Creating the World of Pandora,16,Documentary,6.5,en
Arthur 3: The War of the Two Worlds,16,"Animation, Adventure, Fantasy, Family",5.78,fr
Confessions,16,"Drama, Thriller, Mystery",7.575,ja
Fate/stay night: Unlimited Blade Works,16,"Action, Fantasy, Animation, Drama",7,ja
Superman/Shazam!: The Return of Black Adam,16,"Animation, Action",7,en
Dante's Inferno: An Animated Epic,16,"Action, Adventure, Animation, Horror",6.941,en
Let the Bullets Fly,16,"Action, Comedy",7.8,zh
Get Him to the Greek,16,"Adventure, Comedy, Music",6,en
Senna,16,Documentary,8.1,en
Cop Out,16,"Action, Comedy, Crime",5.5,en
Detective Conan: The Lost Ship in the Sky,16,"Animation, Crime, Mystery, Action",7.1,ja
Scooby-Doo! Camp Scare,16,"Animation, Comedy, Family, Mystery",7.9,en
The Experiment,16,"Thriller, Drama",6.4,en
Open Season 3,16,"Adventure, Animation, Family, Comedy",5.6,en
Monster High: New Ghoul at School,16,"Family, Animation, Fantasy",6.8,en
How Do You Know,16,"Comedy, Drama, Romance",5.305,en
Burning Bright,16,"Drama, Horror, Thriller",6.3,en
13 Assassins,16,"Adventure, Drama, Action",7.3,ja
Secretariat,16,Drama,7.4,en
Hereafter,16,"Drama, Fantasy",6.105,en
Hellraiser: Revelations,16,Horror,3.6,en
Melancholia,16,"Drama, Science Fiction",7.171,en
The Eagle,16,"Adventure, Drama",6.2,en
30 Minutes or Less,16,"Action, Adventure, Comedy",5.782,en
What's Your Number?,16,"Comedy, Romance",6.5,en
S.W.A.T.: Firefight,16,"Action, Crime, Thriller",5.7,en
Transformers: Dark of the Moon,16,"Action, Science Fiction, Adventure",6.209,en
Men in Hope,16,"Comedy, Romance",7.467,cs
Trespass,16,Thriller,5.5,en
One Piece: Episode of Luffy - Hand Island Adventure,16,"Action, Animation, Adventure, Comedy, Drama, TV Movie",6.8,ja
The Odd Life of Timothy Green,16,"Fantasy, Drama, Comedy, Family",7,en
The Words,16,"Drama, Thriller",6.644,en
Sofia the First: Once Upon a Princess,16,"Animation, Family",7.4,en
Puella Magi Madoka Magica the Movie Part II: Eternal,16,"Thriller, Animation, Fantasy",7.6,ja
Paranormal Activity 4,16,Horror,5.407,en
Lockout,16,"Action, Thriller, Science Fiction",5.937,en
Upside Down,16,"Romance, Science Fiction, Drama, Fantasy",6.272,en
Big Miracle,16,"Adventure, Drama, Romance, Fantasy",6.7,en
Emmanuelle Through Time: Emmanuelle's Supernatural Sexual Activity,16,"Comedy, Fantasy, Science Fiction",5.2,en
Lawless,16,"Crime, Drama, Western",7.1,en
Masquerade,16,"Drama, History",7.7,ko
Gangster Squad,16,"Crime, Drama, Action, Thriller",6.367,en
The ABCs of Death,16,Horror,4.95,en
Last Vegas,16,Comedy,6.405,en
All Is Lost,16,"Action, Adventure, Drama",6.639,en
August: Osage County,16,"Comedy, Drama",6.9,en
Water and Fire,16,"Drama, Romance",7.9,tr
Kill Your Darlings,16,"Drama, Romance, Thriller",7.1,en
Paranoia,16,"Drama, Thriller",5.7,en
No One Lives,16,"Horror, Thriller",6,en
21 & Over,16,Comedy,5.8,en
30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,16,Comedy,4.083,en
Europa Report,16,"Science Fiction, Thriller",6.272,en
Empire State,16,"Action, Drama",5.4,en
"Like Father, Like Son",16,Drama,7.653,ja
Sweet Whip,16,"Drama, Crime",5.8,ja
The Other Side of The SEX,16,Documentary,7,ja
Life of Crime,16,"Comedy, Crime",5.7,en
Commitment,16,"Drama, Action, Thriller",7.2,ko
Free Fall,16,"Drama, Romance",7.7,de
Ragnarok,16,"Action, Adventure",5.7,no
The 100 Year-Old Man Who Climbed Out the Window and Disappeared,16,"Adventure, Comedy, Drama",6.8,sv
Wer,16,"Horror, Mystery, Thriller",6.4,en
X+Y,16,Drama,6.683,en
Dragon Nest: Warriors' Dawn,16,"Fantasy, Animation",7.6,zh
Han Gong-ju,16,Drama,7.2,ko
Flowers in the Attic,16,"Drama, Mystery, Thriller, TV Movie",6.7,en
A Most Wanted Man,16,Thriller,6.475,en
The Pirates,16,"Action, Adventure, Comedy, Fantasy",7,ko
Cake,16,Drama,6.3,en
Black Butler: Book of Murder,16,"Mystery, Animation, Adventure, Action",8.1,ja
Frontera,16,"Western, Drama",6.516,en
Naked Ambition 3D,16,Comedy,5.2,cn
The Woman in Black 2: Angel of Death,16,"Thriller, Horror, Drama",5.254,en
10.0 Earthquake,16,"Drama, Adventure, Action",4.942,en
Leprechaun: Origins,16,Horror,4.5,en
Barbie & Her Sisters in the Great Puppy Adventure,16,"Family, Animation, Adventure",7.2,en
Aloha,16,"Drama, Comedy, Romance",5.512,en
Home Sweet Hell,16,"Comedy, Thriller",5.4,en
Pan,16,"Fantasy, Adventure, Family, Action",6,en
Yongju Valley,16,"Drama, Romance",1,ko
Cleveland Abduction,16,"Drama, Crime, TV Movie",7.2,en
High-Rise,16,Drama,5.635,en
Fathers and Daughters,16,Drama,7.1,en
The Night Before,16,"Comedy, Adventure, Fantasy",6.1,en
The Man with the Iron Fists 2,16,"Action, Adventure",5.4,en
Last Knights,16,"Action, Adventure",6.4,en
Detective Chinatown,16,"Comedy, Mystery, Action, Adventure",6.8,zh
Dark Places,16,"Thriller, Mystery, Drama, Crime",5.9,en
Sleeping with Other People,16,"Comedy, Romance",6.289,en
Concussion,16,Drama,7.1,en
Dragonheart 3: The Sorcerer's Curse,16,Fantasy,5.4,en
Animal Kingdom: Let's Go Ape,16,"Adventure, Comedy, Animation",5.2,fr
"McFarland, USA",16,"Drama, Family",7.4,en
Youth,16,"Comedy, Drama",6.9,it
90 Minutes in Heaven,16,Drama,5.9,en
Incarnate,16,"Horror, Thriller",5.4,en
The Love Witch,16,"Horror, Comedy, Romance",6.4,en
School Of Youth 2: The Unofficial History of the Gisaeng Break-In,16,Comedy,2.9,ko
