title,popularity,genres,rating,language
The Super Mario Bros. Movie,185,"Animation, Family, Adventure, Fantasy, Comedy",7.6,en
The Garfield Movie,185,"Animation, Comedy, Family, Adventure",7.082,en
Niko: Beyond the Northern Lights,185,"Animation, Family, Fantasy",7.5,fi
Sex Game 6969,184,"Comedy, Drama, Romance",6,ko
A Complete Unknown,183,"Drama, Music",7.196,en
Kingdom of the Planet of the Apes,181,"Science Fiction, Adventure, Action, Drama, Thriller",7.1,en
Puss in Boots: The Last Wish,178,"Animation, Adventure, Fantasy, Comedy, Family",8.219,en
Cold Feet,177,Comedy,6.6,de
Lembayung,177,"Horror, Thriller",7.8,id
IF,177,"Comedy, Fantasy, Family",7.1,en
Straight,174,Romance,6,es
The Maze Runner,173,"Action, Mystery, Science Fiction, Thriller",7.188,en
Top Gun: Maverick,173,"Action, Drama",8.2,en
Captain America: Civil War,172,"Adventure, Action, Science Fiction",7.444,en
The Ballad of Davy Crockett,172,Action,5.2,en
A Real Pain,172,"Comedy, Drama",6.786,en
Kinda Pregnant,170,"Comedy, Romance",5.53,en
La Dolce Villa,170,"Romance, Comedy",6.3,en
Spider-Man: No Way Home,169,"Action, Adventure, Science Fiction",7.949,en
Jurassic World Dominion,167,"Adventure, Action, Science Fiction",6.675,en
A Quiet Place: Day One,167,"Horror, Science Fiction, Thriller",6.7,en
Cash Out,167,"Action, Thriller",6.3,en
John Wick: Chapter 4,166,"Action, Thriller, Crime",7.722,en
Watchmen: Chapter II,166,"Animation, Mystery, Science Fiction, Action, Drama",7.5,en
Levels,166,"Action, Science Fiction, Thriller",5.6,en
Transformers: Rise of the Beasts,165,"Science Fiction, Adventure, Action",7.248,en
Oppenheimer,164,"Drama, History",8.1,en
Oddity,164,"Horror, Mystery",6.698,en
Civil War,164,"War, Action, Drama",6.9,en
Tatsulok: Tatlo Magkasalo,164,"Drama, Romance",6,tl
Avatar: The Way of Water,163,"Science Fiction, Adventure, Action",7.608,en
The Platform 2,163,"Science Fiction, Horror, Thriller",5.6,es
With You in the Future,163,"Comedy, Romance",7.8,es
Encanto,161,"Animation, Comedy, Family, Fantasy",7.6,en
Ferry 2,160,"Action, Drama, Crime, Thriller",5.7,nl
Migration,159,"Animation, Adventure, Comedy, Family",7.4,en
Spider-Man: Across the Spider-Verse,159,"Animation, Action, Adventure, Science Fiction",8.347,en
Undercover,157,"Drama, Crime, Thriller",7.345,es
Fifty Shades of Grey,153,"Drama, Romance, Thriller",5.879,en
Prey,153,"Action, Thriller, Horror",6.2,en
One of Them Days,152,Comedy,6.9,en
The Conjuring,150,"Horror, Thriller",7.5,en
SpongeBob Squarepants: Kreepaway Kamp,150,"TV Movie, Family, Comedy, Horror, Animation",7.1,en
A Minecraft Movie,150,"Adventure, Fantasy, Family, Comedy",0,en
Pleasure,149,Drama,6.2,sv
Dune,148,"Science Fiction, Adventure",7.783,en
Lazareth,147,Thriller,5.1,en
Transmorphers: Mech Beasts,145,"Action, Science Fiction",5.4,en
Spellbound,145,"Animation, Fantasy, Family, Adventure, Comedy",6.7,en
Strange Darling,145,"Crime, Horror, Thriller",6.9,en
Hijack 1971,144,"Action, Thriller, Crime",6.4,ko
Subservience,144,"Science Fiction, Thriller",6.677,en
Bad Influence,144,"Drama, Thriller, Romance",7.6,es
Honeymoon Crasher,143,Comedy,5.6,fr
Wrath of Man,142,"Crime, Action, Thriller",7.6,en
Sonic the Hedgehog,141,"Action, Science Fiction, Comedy, Family",7.308,en
Abigail,140,"Horror, Thriller",6.8,en
The Most Beautiful Girl in the World,140,"Comedy, Drama, Romance",6.3,id
The Hobbit: The Battle of the Five Armies,139,"Action, Adventure, Fantasy",7.325,en
Elyas,139,"Action, Thriller",6.2,fr
Love Forever,139,"Romance, Comedy, Drama",4.6,sv
Mission: Impossible - Dead Reckoning Part One,138,"Action, Adventure",7.532,en
Road House,138,"Action, Thriller",6.9,en
GTMAX,138,"Action, Crime, Drama",6.093,fr
The Seed of the Sacred Fig,138,"Drama, Thriller, Crime",7.7,fr
Jurassic World,137,"Action, Adventure, Science Fiction, Thriller",6.693,en
Salve Maria,136,Drama,7.1,ca
You're Cordially Invited,136,Comedy,5.932,en
Expend4bles,135,"Action, Adventure, Thriller",6.137,en
Under Paris,135,"Action, Horror",6,fr
Elemental,134,"Animation, Comedy, Family, Fantasy, Romance",7.617,en
Sing: Thriller,134,"Animation, Family, Comedy, Music",7.2,en
Avengers: Endgame,133,"Adventure, Science Fiction, Action",8.2,en
Arena Wars,133,"Action, Science Fiction, Thriller, Comedy, Horror",5,en
The Equalizer,132,"Thriller, Action, Crime",7.28,en
Big Hero 6,131,"Adventure, Family, Animation, Action, Comedy",7.7,en
Coco,131,"Family, Animation, Music, Adventure",8.2,en
The First Omen,131,Horror,6.8,en
Inside Out,130,"Animation, Family, Adventure, Drama, Comedy",7.911,en
Parasite,130,"Comedy, Thriller, Drama",8.5,ko
The Beekeeper,130,"Crime, Action, Thriller",7.337,en
Venom,129,"Science Fiction, Action",6.829,en
OVERLORD: The Sacred Kingdom,128,"Action, Adventure, Animation, Fantasy",7.256,ja
"The Gangster, the Cop, the Devil",127,"Crime, Action, Thriller",7.8,ko
Blade Runner 2049,126,"Science Fiction, Drama",7.573,en
Weekend in Taipei,124,"Action, Adventure, Thriller",6.2,en
Saturday Night's Main Event XXXVII,124,Action,7.2,en
Zak & Wowo: The Legend of Lendarys,124,"Animation, Adventure, Fantasy",5.1,fr
Longlegs,124,"Crime, Horror, Thriller",6.6,en
Nurse 3-D,123,"Horror, Thriller",5.3,en
Fury,123,"War, Drama, Action",7.5,en
Last Stop: Rocafort St.,122,"Horror, Mystery",5.4,es
Mesa de regalos,122,Comedy,6.8,es
Harry Potter and the Deathly Hallows: Part 1,121,"Adventure, Fantasy",7.744,en
Godzilla Minus One,121,"Science Fiction, Horror, Action",7.6,ja
Dogman,121,"Action, Drama, Crime",7.895,fr
Dragonkeeper,121,"Animation, Family, Action, Adventure, Fantasy",7.6,zh
Kiss and Kill,120,"Mystery, Thriller, Romance",5.4,en
Barbie,120,"Comedy, Adventure",7,en
Emmanuelle,120,"Romance, Drama",5,en
A Copenhagen Love Story,120,"Romance, Drama",6.8,da
The Wolf of Wall Street,119,"Crime, Drama, Comedy",8.031,en
El Candidato Honesto,119,Comedy,6.75,es
Hellboy: The Crooked Man,119,"Fantasy, Horror, Action",5.3,en
Sister-in-law's Taste 2,118,Romance,6.3,ko
Squid Game: Fireplace,118,,6,xx
Speak No Evil,118,"Horror, Thriller",7.3,en
Joker: Folie à Deux,118,"Drama, Crime, Thriller",5.489,en
Drawing Closer,118,"Romance, Drama",8.4,ja
Snow White,118,"Family, Fantasy",0,en
The Next 365 Days,117,"Romance, Drama",6.4,pl
Crayon Shin-chan the Movie: Our Dinosaur Diary,117,"Animation, Adventure, Comedy, Family",5.675,ja
Demon City,117,"Action, Crime, Thriller",6.6,ja
The Lion King at the Hollywood Bowl,117,Music,6.6,en
Alien: Covenant,116,"Science Fiction, Horror, Thriller",6.2,en
Descendants: The Rise of Red,116,"Fantasy, Adventure, Family, Comedy",6.9,en
Harry Potter and the Deathly Hallows: Part 2,115,"Fantasy, Adventure",8.089,en
Boyka: Undisputed IV,115,"Action, Drama, Thriller",7.2,en
Below Her Mouth,115,"Drama, Romance",6.8,en
Do Not Enter,115,Horror,7,es
The Moor,115,"Horror, Mystery, Drama",5.3,en
Twisters,115,"Action, Thriller",6.9,en
The Bad Guys: Haunted Heist,114,"Animation, Comedy",7,en
Fifty Shades Freed,113,"Drama, Romance",6.7,en
Girl in the Basement,113,"Thriller, Crime, TV Movie",7.6,en
It Ends with Us,113,"Drama, Romance",7.071,en
Number 24,113,"War, History, Drama",7.1,no
Jurassic World: Fallen Kingdom,112,"Action, Adventure, Science Fiction, Thriller",6.54,en
Ne Zha,112,"Animation, Fantasy, Adventure",7.896,zh
"Miraculous World: Paris, Tales of Shadybug and Claw Noir",112,"Animation, Adventure, Action, Fantasy, Family",7.2,fr
Canary Black,112,"Action, Thriller, Crime",6.2,en
Chhaava,112,"History, Action, Drama",7.8,hi
Tangled,111,"Animation, Family, Adventure",7.6,en
Train to Busan,111,"Horror, Thriller, Action, Adventure",7.751,ko
Doctor Strange in the Multiverse of Madness,111,"Fantasy, Action, Adventure",7.267,en
The Soul Eater,111,"Thriller, Horror, Crime, Mystery",6.2,fr
Umjolo: There Is No Cure,111,"Romance, Comedy, Drama",6.8,zu
How to Train Your Dragon,110,"Fantasy, Adventure, Animation, Family",7.8,en
Star Wars: The Last Jedi,110,"Adventure, Action, Science Fiction",6.783,en
Ready Player One,110,"Adventure, Action, Science Fiction",7.591,en
Death Before the Wedding,110,"Comedy, Romance",4.4,pl
Frozen,109,"Animation, Family, Adventure, Fantasy",7.2,en
Beauty and the Beast,109,"Family, Fantasy, Romance",7,en
Anyone But You,109,"Romance, Comedy",6.9,en
Late Night with the Devil,109,Horror,7.173,en
Dominique,109,"Action, Thriller",7,en
Marked Men: Rule + Shaw,109,"Romance, Drama",7.2,en
Prisoners,108,"Drama, Thriller, Crime",8.1,en
Nightbitch,108,Comedy,5.806,en
Love Me,108,"Science Fiction, Drama, Romance",5.917,en
Squid Game: Making Season 2,107,Documentary,8.5,ko
Mission: Impossible - The Final Reckoning,107,"Action, Adventure, Thriller",0,en
Millers in Marriage,107,Drama,6.9,en
Deadpool,106,"Action, Adventure, Comedy",7.622,en
The Batman,106,"Crime, Mystery, Thriller",7.659,en
Wish,106,"Animation, Family, Fantasy, Adventure",6.3,en
Greedy People,106,"Comedy, Mystery, Crime",6.057,en
Borderlands,106,"Action, Science Fiction, Comedy",5.7,en
Winnie-the-Pooh: Blood and Honey 2,106,"Horror, Thriller",6.026,en
Never Let Go,106,"Horror, Drama",6.2,en
The Front Room,106,"Horror, Comedy, Thriller",5.3,en
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,105,"Animation, Action, Fantasy, Thriller",8.2,ja
Shang-Chi and the Legend of the Ten Rings,105,"Action, Adventure, Fantasy",7.528,en
Black Panther: Wakanda Forever,105,"Action, Adventure, Science Fiction",7.072,en
Guardians of the Galaxy Vol. 3,105,"Science Fiction, Adventure, Action",7.952,en
No Way Up,105,"Thriller, Horror, Action",6.3,en
The Fall Guy,105,"Action, Comedy, Romance",7,en
Don't Move,105,"Horror, Thriller",6.4,en
Jurassic World Rebirth,105,"Science Fiction, Adventure, Thriller",0,en
Cinderella,104,"Romance, Fantasy, Family, Drama",6.8,en
Justice League,104,"Action, Adventure, Science Fiction",6.076,en
Busty Girlfriend,104,Romance,7.3,ko
The Equalizer 3,104,"Action, Thriller, Crime",7.317,en
The Thicket,104,"Crime, Thriller, Western",6.4,en
Beetlejuice Beetlejuice,104,"Comedy, Fantasy, Horror",7.063,en
Zootopia,103,"Animation, Adventure, Family, Comedy",7.7,en
The Absence of Eden,103,"Thriller, Drama, Romance, Crime",4.9,en
The Killer's Game,103,"Action, Comedy, Thriller",6.4,en
We Live in Time,103,"Romance, Drama",7.4,en
Pirates of the Caribbean: On Stranger Tides,102,"Adventure, Action, Fantasy",6.556,en
The Tomorrow War,102,"Action, Science Fiction, Adventure",7.5,en
Meg 2: The Trench,102,"Action, Science Fiction, Horror",6.45,en
Santa Isn't Real,102,Horror,6.7,en
Shutter Island,101,"Drama, Thriller, Mystery",8.2,en
Me Before You,101,"Drama, Romance",7.9,en
